CustomerID,Age,Gender,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Returns,Churn,Occupation,FrequencyOfWebsiteVisits
1,62,Female,Gold,158,3362.292989,Home Goods,18/10/23,1,0,Doctor,39
2,65,Male,Gold,10,7630.458001,Home Goods,4/6/2023,0,1,Student,4
3,18,Other,Silver,113,8276.422097,Beauty,6/10/2023,0,1,Retired,44
4,21,Male,Bronze,103,9464.29354,Home Goods,9/12/2023,1,0,Engineer,16
5,21,Female,Gold,32,4103.204939,Books,7/1/2023,1,1,Student,36
6,57,Male,Silver,27,5547.643896,Sports,17/09/23,1,0,Doctor,37
7,27,Female,Platinum,197,7138.378812,Electronics,12/2/2023,0,0,Artist,19
8,37,Male,Bronze,72,7621.88857,Books,25/03/23,0,1,Artist,43
9,39,Male,Bronze,10,9061.91898,Books,18/11/23,1,1,Unemployed,16
10,68,Male,Bronze,143,8477.144206,Clothing,4/5/2023,0,1,Artist,36
11,54,Male,Gold,18,4230.132683,Sports,19/07/23,1,1,Artist,28
12,41,Female,Gold,78,8226.539905,Home Goods,28/08/23,1,0,Engineer,42
13,24,Male,Bronze,49,9962.428441,Home Goods,2/2/2023,0,1,Artist,40
14,42,Male,Silver,27,4651.319976,Books,21/07/23,1,1,Unemployed,27
15,42,Male,Platinum,13,8082.666966,Clothing,7/9/2023,0,1,Artist,26
16,30,Female,Silver,192,2220.441548,Books,28/12/23,0,1,Teacher,22
17,19,Male,Silver,44,4313.368752,Books,23/12/23,1,1,Student,32
18,56,Male,Silver,97,2166.582778,Clothing,23/05/23,0,1,Student,25
19,57,Female,Platinum,13,2108.704912,Sports,12/12/2023,0,1,Teacher,13
20,41,Male,Bronze,28,3614.605341,Sports,23/07/23,0,1,Engineer,30
21,64,Other,Silver,169,8750.199935,Home Goods,9/10/2023,0,1,Doctor,20
22,42,Male,Silver,12,9986.905992,Home Goods,22/11/23,1,0,Unemployed,45
23,35,Other,Platinum,183,3315.656856,Beauty,9/11/2023,1,1,Unemployed,9
24,55,Male,Bronze,84,8720.975643,Books,27/05/23,0,0,Unemployed,7
25,43,Male,Bronze,46,3004.232249,Sports,6/5/2023,0,0,Doctor,15
26,31,Female,Silver,53,4162.39757,Electronics,1/3/2023,0,1,Teacher,36
27,26,Other,Bronze,131,6491.265766,Home Goods,9/3/2023,0,1,Unemployed,10
28,27,Male,Bronze,148,2712.384203,Clothing,26/07/23,1,1,Retired,36
29,38,Male,Gold,135,6935.291945,Sports,20/06/23,0,1,Doctor,21
30,69,Male,Bronze,182,3802.627184,Home Goods,2/5/2023,1,1,Doctor,21
31,34,Male,Silver,181,7398.367946,Sports,12/3/2023,1,1,Unemployed,20
32,69,Male,Silver,127,1191.345473,Books,18/12/23,0,1,Doctor,48
33,23,Other,Bronze,34,6756.167405,Clothing,7/10/2023,0,0,Teacher,26
34,33,Female,Bronze,83,2493.540925,Books,17/09/23,1,0,Teacher,8
35,65,Female,Gold,56,9711.272088,Clothing,24/06/23,1,0,Engineer,0
36,18,Other,Platinum,138,6714.012998,Beauty,21/09/23,1,0,Engineer,3
37,36,Female,Bronze,1,4434.2431,Books,6/1/2023,1,0,Engineer,46
38,53,Female,Bronze,34,9548.727251,Home Goods,2/8/2023,1,0,Artist,31
39,42,Other,Platinum,159,5282.212327,Books,29/09/23,1,0,Unemployed,19
40,67,Female,Gold,40,2350.15999,Home Goods,22/10/23,1,1,Student,35
41,69,Male,Platinum,36,7015.133323,Sports,10/8/2023,1,0,Artist,16
42,47,Female,Silver,78,8037.016578,Books,8/4/2023,0,1,Student,30
43,37,Female,Bronze,83,8861.710701,Home Goods,10/2/2023,1,0,Student,10
44,37,Male,Gold,139,2436.151664,Electronics,12/8/2023,0,0,Student,49
45,32,Other,Gold,40,8221.634423,Electronics,8/6/2023,1,1,Teacher,41
46,57,Male,Platinum,3,3151.791123,Sports,8/10/2023,1,1,Retired,2
47,50,Other,Gold,62,8877.050303,Clothing,27/03/23,0,1,Student,35
48,19,Male,Gold,162,8530.672416,Home Goods,25/06/23,0,0,Doctor,23
49,27,Other,Silver,55,7023.967641,Clothing,28/09/23,1,1,Retired,19
50,50,Male,Bronze,47,484.0697807,Books,3/5/2023,0,1,Student,36
51,49,Male,Bronze,136,6721.851784,Sports,13/08/23,0,1,Artist,9
52,28,Male,Silver,72,6600.50977,Home Goods,16/05/23,0,1,Unemployed,24
53,41,Other,Platinum,11,5187.126519,Electronics,25/02/23,1,1,Engineer,28
54,53,Other,Platinum,16,2219.238813,Books,23/06/23,0,1,Doctor,32
55,29,Other,Gold,21,3387.483569,Electronics,11/7/2023,0,1,Retired,27
56,68,Female,Platinum,159,9288.653441,Clothing,11/8/2023,0,0,Unemployed,11
57,46,Female,Silver,21,9211.451871,Books,27/04/23,1,1,Artist,12
58,52,Male,Gold,105,7806.034676,Beauty,30/07/23,0,1,Teacher,18
59,18,Male,Gold,115,5438.792372,Beauty,25/09/23,1,1,Unemployed,11
60,18,Male,Bronze,11,2136.495261,Home Goods,24/08/23,0,0,Unemployed,16
61,54,Male,Gold,123,379.7843764,Home Goods,17/08/23,0,0,Artist,41
62,23,Male,Silver,6,8102.798026,Electronics,25/07/23,0,1,Artist,21
63,56,Female,Silver,94,3440.926021,Clothing,20/06/23,1,0,Retired,15
64,58,Male,Bronze,81,498.0895536,Clothing,24/02/23,1,0,Unemployed,36
65,35,Female,Gold,141,3521.555919,Home Goods,3/5/2023,1,1,Doctor,1
66,33,Female,Bronze,13,9464.717243,Beauty,12/11/2023,1,1,Engineer,20
67,22,Male,Silver,90,5158.329243,Sports,21/01/23,1,1,Unemployed,48
68,59,Other,Bronze,18,4190.036095,Clothing,23/04/23,1,1,Student,12
69,60,Female,Bronze,148,2618.931776,Clothing,12/11/2023,1,0,Unemployed,31
70,49,Female,Gold,87,1787.145115,Books,21/11/23,0,0,Doctor,35
71,19,Other,Gold,193,7851.712172,Electronics,14/07/23,0,1,Student,10
72,19,Female,Bronze,122,6997.560661,Beauty,8/8/2023,0,1,Engineer,36
73,57,Other,Platinum,94,4364.972272,Home Goods,29/07/23,1,0,Engineer,39
74,59,Male,Silver,179,9779.413816,Beauty,28/01/23,0,1,Engineer,10
75,53,Male,Gold,9,8264.880084,Electronics,6/9/2023,0,1,Artist,21
76,56,Male,Platinum,120,6820.949203,Electronics,26/12/23,0,0,Retired,33
77,29,Female,Bronze,100,8967.057826,Beauty,5/1/2023,1,0,Unemployed,21
78,64,Other,Gold,92,2903.205936,Clothing,25/01/23,1,1,Student,46
79,36,Other,Bronze,174,4583.477522,Home Goods,30/10/23,1,0,Unemployed,48
80,45,Female,Platinum,166,8645.913306,Beauty,29/01/23,0,0,Student,34
81,18,Other,Bronze,27,3619.196727,Clothing,24/12/23,1,1,Doctor,3
82,32,Female,Platinum,163,2336.778372,Electronics,21/01/23,1,0,Artist,24
83,53,Female,Gold,85,6246.810803,Sports,7/10/2023,0,0,Student,3
84,30,Female,Silver,197,5027.574334,Beauty,12/10/2023,0,1,Unemployed,3
85,60,Male,Gold,14,8804.402606,Beauty,29/09/23,0,1,Student,36
86,38,Other,Silver,93,363.3216848,Sports,26/04/23,0,0,Artist,34
87,29,Other,Platinum,68,1373.135216,Sports,31/10/23,0,1,Unemployed,36
88,22,Female,Platinum,130,3467.898951,Home Goods,17/11/23,0,0,Doctor,31
89,24,Male,Platinum,12,8962.497678,Home Goods,23/04/23,0,0,Engineer,6
90,22,Female,Gold,91,9793.150371,Clothing,1/12/2023,0,0,Doctor,39
91,65,Female,Bronze,137,3911.098197,Home Goods,23/10/23,1,1,Doctor,46
92,21,Female,Silver,3,5737.657704,Clothing,27/05/23,1,0,Unemployed,10
93,30,Other,Silver,150,1268.98896,Sports,19/12/23,0,1,Retired,31
94,54,Other,Gold,32,2152.146931,Clothing,3/10/2023,0,0,Student,27
95,58,Male,Gold,14,3458.628832,Clothing,7/11/2023,1,0,Unemployed,40
96,32,Female,Platinum,134,9003.143041,Books,3/6/2023,1,0,Artist,27
97,33,Female,Bronze,37,8179.775913,Beauty,3/10/2023,0,0,Doctor,12
98,38,Other,Gold,82,960.4459992,Home Goods,25/02/23,0,0,Doctor,30
99,53,Female,Gold,153,6147.944168,Sports,20/10/23,1,0,Artist,38
100,41,Male,Silver,176,1660.013634,Books,3/11/2023,1,1,Doctor,7
101,33,Male,Silver,114,6949.561143,Books,3/9/2023,0,0,Engineer,27
